name,rating,Duration,Year,Genre,Gross_income
Exodus: Gods and Kings,6.0,150,2014,Action Adventure Drama,65014513
Big Trouble in Little China,7.2,99,1986,Action Adventure Comedy,11100000
Licence to Kill,6.6,133,1989,Action Adventure Thriller,34667015
2 Fast 2 Furious,5.9,107,2003,Action Adventure Crime,127154901
Rambo,7.0,92,2008,Action Adventure Thriller,42754105
The Spy Who Loved Me,7.0,125,1977,Action Adventure Thriller,46800000
Terminator Genisys,6.3,126,2015,Action Adventure Sci-Fi,89760956
War for the Planet of the Apes,7.4,140,2017,Action Adventure Drama,146880162
The Emperor's New Groove,7.4,78,2000,Animation Adventure Comedy,89302687
Despicable Me 2,7.3,98,2013,Animation Adventure Comedy,368061265
Ivanhoe,6.8,106,1952,Adventure Drama Romance,368061265
Rambo: First Blood Part II,6.5,96,1985,Action Adventure Thriller,150415432
Monsters University,7.3,104,2013,Animation Adventure Comedy,268492764
Teenage Mutant Ninja Turtles: Out of the Shadows,5.9,112,2016,Action Adventure Comedy,82051601
Ice Age,7.5,81,2002,Animation Adventure Comedy,176387405
Robots,6.4,91,2005,Animation Adventure Comedy,128200012
Into the Woods,5.9,125,2014,Adventure Comedy Drama,128002372
The Hunger Games: Mockingjay - Part 2,6.5,137,2015,Action Adventure Sci-Fi,281723902
Dolittle,5.6,101,2020,Adventure Comedy Family,77047065
The Hobbit: The Battle of the Five Armies,7.4,144,2014,Adventure Fantasy,255119788
Jaws 2,5.8,116,1978,Adventure Horror Thriller,102922376
The World Is Not Enough,6.4,128,1999,Action Adventure Thriller,126943684
Predators,6.4,107,2010,Action Adventure Sci-Fi,52000688
The Green Inferno,5.3,100,2013,Adventure Horror,7192291
Against the Ice,6.5,102,2022,Adventure Drama History,7192291
Commando,6.7,90,1985,Action Adventure Thriller,35100000
Master and Commander: The Far Side of the World,7.4,138,2003,Action Adventure Drama,93927920
The Right Stuff,7.8,193,1983,Adventure Biography Drama,21500000
Assassin's Creed,5.6,115,2016,Action Adventure Sci-Fi,54647948
The Spiderwick Chronicles,6.5,96,2008,Action Adventure Drama,71195053
Escape from New York,7.1,99,1981,Action Adventure Sci-Fi,25244700
Westward the Women,7.6,118,1951,Adventure Drama Western,25244700
Finding Dory,7.3,97,2016,Animation Adventure Comedy,486295561
The Twilight Saga: New Moon,4.7,130,2009,Adventure Drama Fantasy,296623634
Transformers: Age of Extinction,5.6,165,2014,Action Adventure Sci-Fi,245439076
Die Another Day,6.1,133,2002,Action Adventure Thriller,160942139
Tom and Jerry,5.2,101,2021,Animation Adventure Comedy,160942139
A Knight's Tale,6.9,132,2001,Action Adventure Romance,56569702
Clash of the Titans,5.8,106,2010,Action Adventure Fantasy,163214888
Godzilla,6.4,123,2014,Action Adventure Sci-Fi,200676069
Popeye,5.3,114,1980,Adventure Comedy Family,49823057
Life of Pi,7.9,127,2012,Adventure Drama Fantasy,124987023
On Her Majesty's Secret Service,6.8,142,1969,Action Adventure Thriller,22800000
The Colony,5.3,104,2021,Action Adventure Sci-Fi,22800000
Tarzan,7.3,88,1999,Animation Adventure Comedy,171091819
Dawn of the Planet of the Apes,7.6,130,2014,Action Adventure Drama,208545589
The Saint,6.2,116,1997,Action Adventure Romance,61355436
A View to a Kill,6.3,131,1985,Action Adventure Thriller,50327960
Wreck-It Ralph,7.7,101,2012,Animation Adventure Comedy,189422889
Kung Fu Panda 3,7.1,95,2016,Animation Action Adventure,143528619
Serenity,7.8,119,2005,Action Adventure Sci-Fi,25514517
Super Mario Bros.,4.1,104,1993,Adventure Comedy Family,20915465
Fireheart,6.1,92,2022,Animation Adventure Comedy,20915465
Indiana Jones and the Kingdom of the Crystal Skull,6.1,122,2008,Action Adventure,317101119
King Arthur,6.3,126,2004,Action Adventure Drama,51882244
Get Smart,6.5,110,2008,Action Adventure Comedy,130319208
The Expendables 3,6.1,126,2014,Action Adventure Thriller,39322544
The Lego Movie,7.7,100,2014,Animation Action Adventure,257760692
The Mask of Zorro,6.8,136,1998,Action Adventure Comedy,94095523
Peter Pan,6.8,113,2003,Adventure Family Fantasy,48462608
"10,000 BC",5.1,109,2008,Action Adventure Drama,94784201
Everest,7.1,121,2015,Action Adventure Biography,43482270
For Your Eyes Only,6.7,127,1981,Action Adventure Thriller,62300000
Howard the Duck,4.7,110,1986,Action Adventure Comedy,16295774
Mortal Engines,6.1,128,2018,Action Adventure Fantasy,15951040
Austin Powers in Goldmember,6.2,94,2002,Action Adventure Comedy,213307889
Maze Runner: The Death Cure,6.2,143,2018,Action Adventure Sci-Fi,58032443
Trolls World Tour,6.0,91,2020,Animation Adventure Comedy,58032443
Escape Room: Tournament of Champions,5.7,88,2021,Action Adventure Horror,25188958
Dora and the Lost City of Gold,6.1,102,2019,Action Adventure Comedy,54893567
The Princess and the Frog,7.1,97,2009,Animation Adventure Comedy,104400899
Good Boys,6.7,90,2019,Adventure Comedy,69056735
Chitty Chitty Bang Bang,6.9,144,1968,Adventure Family Fantasy,7500000
How to Train Your Dragon: The Hidden World,7.4,104,2019,Animation Action Adventure,160799505
The Vault,6.4,118,2021,Action Adventure Thriller,160799505
The Huntsman: Winter's War,6.1,114,2016,Action Adventure Drama,48390190
The Twilight Saga: Breaking Dawn - Part 1,4.9,117,2011,Adventure Drama Fantasy,281287133
The Time Machine,5.9,96,2002,Action Adventure Sci-Fi,56684819
Ender's Game,6.6,114,2013,Action Adventure Sci-Fi,61737191
Reign of Fire,6.2,101,2002,Action Adventure Fantasy,43061982
Planet of the Apes,8.0,112,1968,Adventure Sci-Fi,33395426
Beavis and Butt-Head Do America,6.8,81,1996,Animation Adventure Comedy,63071133
Dante's Peak,6.0,108,1997,Action Adventure Thriller,67127760
Austin Powers: The Spy Who Shagged Me,6.6,95,1999,Action Adventure Comedy,206040086
Scary Stories to Tell in the Dark,6.2,108,2019,Adventure Horror Mystery,62739086
Transformers: Revenge of the Fallen,5.9,149,2009,Action Adventure Sci-Fi,402111870
Treasure Planet,7.1,95,2002,Animation Adventure Family,38176783
Battleship,5.8,131,2012,Action Adventure Sci-Fi,65422625
Speed 2: Cruise Control,3.9,121,1997,Action Adventure Crime,48608066
The Croods: A New Age,6.9,95,2020,Animation Adventure Comedy,58568815
Masters of the Universe,5.3,106,1987,Action Adventure Fantasy,17336370
Small Soldiers,6.2,110,1998,Action Adventure Comedy,54682547
The A-Team,6.7,117,2010,Action Adventure Thriller,77222099
Ron's Gone Wrong,7.0,107,2021,Animation Adventure Comedy,77222099
The Hunger Games: Mockingjay - Part 1,6.6,123,2014,Action Adventure Sci-Fi,337135885
Dogma,7.3,130,1999,Adventure Comedy Drama,30651422
Cheaper by the Dozen,4.3,107,2022,Adventure Comedy Family,30651422
Harold & Kumar Go to White Castle,7.0,88,2004,Adventure Comedy,18225165
Transformers: Dark of the Moon,6.2,154,2011,Action Adventure Sci-Fi,352390543
Gemini Man,5.7,117,2019,Action Adventure Sci-Fi,48546770
Rampage,6.1,107,2018,Action Adventure Sci-Fi,101028233
Anaconda,4.8,89,1997,Action Adventure Horror,65885767
Weekend at Bernie's,6.4,97,1989,Adventure Comedy Crime,30218387
Barry Lyndon,8.1,185,1975,Adventure Drama War,30218387
The Addams Family 2,5.4,93,2021,Animation Adventure Comedy,30218387
The Abyss,7.5,140,1989,Adventure Drama Mystery,54461047
Charlie's Angels,5.6,98,2000,Action Adventure Comedy,125305545
Last Action Hero,6.4,130,1993,Action Adventure Comedy,50016394
Ralph Breaks the Internet,7.0,112,2018,Animation Adventure Comedy,201091711
News of the World,6.8,118,2020,Action Adventure Drama,55011732
Scooby-Doo 2: Monsters Unleashed,5.1,93,2004,Adventure Comedy Family,84216833
The Expendables,6.4,103,2010,Action Adventure Thriller,103068524
Your Highness,5.5,102,2011,Adventure Comedy Fantasy,21596445
Tomorrowland,6.4,130,2015,Action Adventure Family,93436322
28 Weeks Later,6.9,100,2007,Action Adventure Horror,28638916
The Golden Compass,6.1,113,2007,Adventure Family Fantasy,70107728
PAW Patrol: The Movie,6.1,86,2021,Animation Adventure Comedy,70107728
Jaws: The Revenge,3.0,89,1987,Adventure Horror Thriller,20763013
The Prince of Egypt,7.1,99,1998,Animation Adventure Drama,101217900
Diamonds Are Forever,6.5,120,1971,Action Adventure Thriller,43819547
The 5th Wave,5.2,112,2016,Action Adventure Sci-Fi,34916787
Leave No Trace,7.1,109,2018,Adventure Drama,6046104
Speed Racer,6.0,135,2008,Action Adventure Comedy,43945766
Star Wars: The Clone Wars,5.9,98,2008,Animation Action Adventure,35161554
The Lone Ranger,6.4,150,2013,Action Adventure Western,89302115
Moonraker,6.2,126,1979,Action Adventure Sci-Fi,70308099
The Jungle Book,7.6,78,1967,Animation Adventure Comedy,141843612
It's a Mad Mad Mad Mad World,7.5,210,1963,Action Adventure Comedy,46300000
The Sea Beast,8.2,115,2022,Animation Adventure Comedy,46300000
The Boss Baby: Family Business,5.8,107,2021,Animation Adventure Comedy,46300000
Robin Hood: Men in Tights,6.7,104,1993,Adventure Comedy Musical,35739755
Far and Away,6.6,140,1992,Adventure Drama Romance,58883840
Now You See Me 2,6.4,129,2016,Action Adventure Comedy,65075540
G.I. Joe: Retaliation,5.7,110,2013,Action Adventure Sci-Fi,122523060
Point Break,5.3,114,2015,Action Adventure Crime,28782481
The Three Musketeers,6.3,105,1993,Action Adventure Comedy,53898845
Octopussy,6.5,131,1983,Action Adventure Thriller,67900000
Mad Max Beyond Thunderdome,6.2,107,1985,Action Adventure Sci-Fi,36200000
The Happening,5.0,91,2008,Adventure Sci-Fi Thriller,64506874
Noah,5.8,138,2014,Action Adventure Drama,101200044
The Living Daylights,6.7,130,1987,Action Adventure Thriller,51185897
Marrowbone,6.6,110,2017,Adventure Drama Horror,1377
Blood Red Sky,6.1,121,2021,Action Adventure Fantasy,1377
The Secret Life of Pets,6.5,87,2016,Animation Adventure Comedy,368384330
Paul,6.9,104,2011,Adventure Comedy Sci-Fi,37412945
Kung Fu Panda 2,7.2,90,2011,Animation Action Adventure,165249063
Shrek Forever After,6.3,93,2010,Animation Adventure Comedy,238371987
Battlefield Earth,2.5,118,2000,Action Adventure Sci-Fi,21471685
xXx,5.8,124,2002,Action Adventure Thriller,142109382
Isle of Dogs,7.8,101,2018,Animation Adventure Comedy,32015231
Dinosaur,6.4,82,2000,Animation Adventure Drama,137748063
The Three Musketeers,5.7,110,2011,Action Adventure Fantasy,20377913
The Bourne Legacy,6.6,135,2012,Action Adventure Thriller,113203870
Cold Mountain,7.2,154,2003,Adventure Drama History,95636509
Cloudy with a Chance of Meatballs,6.9,90,2009,Animation Adventure Comedy,124870275
Sherlock Holmes: A Game of Shadows,7.4,129,2011,Action Adventure Mystery,186848418
G.I. Joe: The Rise of Cobra,5.7,118,2009,Action Adventure Sci-Fi,152267519
George of the Jungle,5.5,92,1997,Action Adventure Comedy,105263257
High Life,5.8,113,2018,Adventure Drama Horror,1225852
The Midnight Sky,5.6,118,2020,Adventure Drama Sci-Fi,1225852
Spartacus,7.9,197,1960,Adventure Biography Drama,30000000
The Magnificent Seven,7.7,128,1960,Action Adventure Western,4905000
Ben-Hur,8.1,212,1959,Adventure Drama History,74700000
Robin Hood,5.3,116,2018,Action Adventure Drama,30824628
The Great Escape,8.2,172,1963,Adventure Drama History,12100000
The Lego Batman Movie,7.3,104,2017,Animation Action Adventure,175750384
The Last Starfighter,6.7,101,1984,Action Adventure Sci-Fi,28733290
Conan the Barbarian,5.1,113,2011,Action Adventure Fantasy,21295021
The Dirty Dozen,7.7,150,1967,Action Adventure War,45300000
The Ridiculous 6,4.8,119,2015,Action Adventure Comedy,2335896
How to Train Your Dragon 2,7.8,102,2014,Animation Action Adventure,177002924
I Am Number Four,6.1,111,2011,Action Adventure Sci-Fi,55100437
The League of Extraordinary Gentlemen,5.8,110,2003,Action Adventure Fantasy,66465204
Terminator Salvation,6.5,115,2009,Action Adventure Sci-Fi,125322469
TRON,6.7,96,1982,Action Adventure Sci-Fi,33000000
Space Jam,6.5,88,1996,Animation Adventure Comedy,90463534
Beowulf,6.3,115,2007,Animation Action Adventure,82161969
Mary Poppins Returns,6.7,130,2018,Adventure Comedy Family,171958438
200 M.P.H.,2.1,92,2011,Action Adventure Drama,171958438
The Call of the Wild,6.7,100,2020,Adventure Drama Family,62342368
The Cat in the Hat,4.0,82,2003,Adventure Comedy Family,101149285
Shrek the Third,6.1,93,2007,Animation Adventure Comedy,320706665
The Holy Mountain,7.8,114,1973,Adventure Drama Fantasy,61001
The Ten Commandments,7.9,220,1956,Adventure Drama Family,93740000
Alice Through the Looking Glass,6.1,113,2016,Adventure Family Fantasy,77042381
Batman v Superman: Dawn of Justice Ultimate Edition,7.2,182,2016,Action Adventure Sci-Fi,77042381
Space Cowboys,6.5,130,2000,Action Adventure Thriller,90464773
Return to Oz,6.7,113,1985,Adventure Family Fantasy,72688614
A Series of Unfortunate Events,6.8,108,2004,Adventure Comedy Family,118627117
Spy Kids 3: Game Over,4.3,84,2003,Action Adventure Comedy,111761982
Christopher Robin,7.2,104,2018,Adventure Comedy Drama,99215042
The Iron Giant,8.1,86,1999,Animation Action Adventure,23159305
Prince of Persia: The Sands of Time,6.6,116,2010,Action Adventure Fantasy,90759676
The Imaginarium of Doctor Parnassus,6.8,123,2009,Adventure Comedy Fantasy,7689607
Krull,6.1,121,1983,Action Adventure Fantasy,16519460
The Siege of Robin Hood,2.6,120,2022,Action Adventure Fantasy,16519460
The Postman,6.1,177,1997,Action Adventure Drama,17626234
End of Watch,7.6,109,2012,Action Adventure Crime,41003371
Easy Rider,7.3,95,1969,Adventure Drama,41728598
Mortdecai,5.5,107,2015,Action Adventure Comedy,7605668
The Bridge on the River Kwai,8.2,161,1957,Adventure Drama War,44908000
Demon Slayer the Movie: Mugen Train,8.2,117,2020,Animation Action Adventure,47700000
Percy Jackson: Sea of Monsters,5.7,106,2013,Adventure Family Fantasy,68559554
You Only Live Twice,6.8,117,1967,Action Adventure Thriller,43084787
Journey 2: The Mysterious Island,5.7,94,2012,Action Adventure Comedy,103860290
Night at the Museum: Battle of the Smithsonian,6.0,105,2009,Adventure Comedy Family,177243721
Die Hard with a Vengeance,7.6,128,1995,Action Adventure Thriller,100012499
Maze Runner: The Scorch Trials,6.3,131,2015,Action Adventure Sci-Fi,81697192
The Dark Tower,5.6,95,2017,Action Adventure Fantasy,50701325
The Covenant,5.1,97,2006,Action Adventure Fantasy,23292105
Barbarella,5.8,98,1968,Adventure Comedy Fantasy,177397510
Jupiter Ascending,5.3,127,2015,Action Adventure Sci-Fi,47387723
Back to the Outback,6.5,95,2021,Animation Adventure Comedy,47387723
The Man Who Killed Don Quixote,6.3,132,2018,Adventure Comedy Drama,391963
Shark Tale,6.0,90,2004,Animation Adventure Comedy,160861908
The Legend of Zorro,5.9,129,2005,Action Adventure Romance,46464023
Superman III,5.0,125,1983,Action Adventure Comedy,59950623
Seven Years in Tibet,7.1,136,1997,Adventure Biography Drama,37957682
Return to the Blue Lagoon,5.1,102,1991,Adventure Drama Romance,2807854
The Good Dinosaur,6.7,93,2015,Animation Adventure Comedy,123087120
Aliens in the Attic,5.4,86,2009,Adventure Comedy Family,25200412
The Wild Bunch,7.9,135,1969,Action Adventure Western,12064472
Alvin and the Chipmunks,5.2,92,2007,Animation Adventure Comedy,217326974
Bee Movie,6.1,91,2007,Animation Adventure Comedy,126631277
The Ice Age Adventures of Buck Wild,4.3,82,2022,Animation Adventure Comedy,126631277
Clash of the Titans,6.9,118,1981,Action Adventure Family,41092328
S.W.A.T.,6.0,117,2003,Action Adventure Crime,116934650
The Adventures of Tintin,7.3,107,2011,Animation Action Adventure,77591831
Aliens vs. Predator: Requiem,4.6,94,2007,Action Adventure Horror,41797066
Rio,6.9,96,2011,Animation Adventure Comedy,143619809
The Guns of Navarone,7.5,158,1961,Action Adventure Drama,28900000
Never Say Never Again,6.1,134,1983,Action Adventure Thriller,55500000
Okja,7.3,120,2017,Action Adventure Drama,55500000
Maleficent: Mistress of Evil,6.6,119,2019,Adventure Family Fantasy,113929605
Pacific Rim: Uprising,5.6,111,2018,Action Adventure Sci-Fi,59874525
The Do-Over,5.7,108,2016,Action Adventure Comedy,59874525
Miss Fisher & the Crypt of Tears,6.0,101,2020,Adventure Drama Mystery,17223265
The Sorcerer's Apprentice,6.1,109,2010,Action Adventure Family,63150991
Flash Gordon,6.5,111,1980,Action Adventure Sci-Fi,63150991
The Chronicles of Narnia: Prince Caspian,6.5,150,2008,Action Adventure Family,141621490
Ponyo,7.6,101,2008,Animation Adventure Comedy,15090400
Superman Returns,6.1,154,2006,Action Adventure Sci-Fi,200081192
The 13th Warrior,6.6,102,1999,Action Adventure History,32698899
Hotel Transylvania 2,6.6,89,2015,Animation Adventure Comedy,169700110
Mortal Kombat,5.8,101,1995,Action Adventure Fantasy,70454098
Lara Croft: Tomb Raider,5.7,100,2001,Action Adventure Fantasy,131144183
Night at the Museum: Secret of the Tomb,6.2,98,2014,Adventure Comedy Family,113746621
Fantastic Four: Rise of the Silver Surfer,5.6,92,2007,Action Adventure Fantasy,131921738
R.I.P.D.,5.6,96,2013,Action Adventure Comedy,33618855
The Day the Earth Stood Still,5.5,104,2008,Adventure Drama Sci-Fi,79366978
The Adventures of Sharkboy and Lavagirl 3-D,3.6,93,2005,Action Adventure Comedy,39177684
The Witches,6.8,91,1990,Adventure Comedy Family,10360553
Jaws 3-D,3.7,99,1983,Adventure Horror Thriller,45517055
Journey to the Center of the Earth,5.8,93,2008,Action Adventure Family,101704370
