name,rating,Duration,Year,Genre,Gross_income
Mission: Impossible II,6.1,123,2000,Action Adventure Thriller,215409889
Star Wars: Episode VIII - The Last Jedi,6.9,152,2017,Action Adventure Fantasy,620181382
The Avengers,8.0,143,2012,Action Adventure Sci-Fi,623279547
Divergent,6.6,139,2014,Action Adventure Mystery,150947895
Zack Snyder's Justice League,8.0,242,2021,Action Adventure Fantasy,150947895
Casino Royale,8.0,144,2006,Action Adventure Thriller,167445960
Spider-Man: Into the Spider-Verse,8.4,117,2018,Animation Action Adventure,190241310
The Mortal Instruments: City of Bones,5.8,130,2013,Action Adventure Fantasy,31165421
The Princess Bride,8.0,98,1987,Adventure Family Fantasy,30857814
Toy Story 3,8.3,103,2010,Animation Adventure Comedy,415004880
Fantastic Four,4.3,100,2015,Action Adventure Sci-Fi,56117548
Stand by Me,8.1,89,1986,Adventure Drama,52287414
Independence Day,7.0,145,1996,Action Adventure Sci-Fi,306169255
Cars,7.2,117,2006,Animation Adventure Comedy,244082982
Willow,7.2,126,1988,Action Adventure Drama,57269863
The Mummy,7.1,124,1999,Action Adventure Fantasy,155247825
Predator,7.8,107,1987,Action Adventure Horror,59735548
Indiana Jones and the Raiders of the Lost Ark,8.4,115,1981,Action Adventure,248159971
The Lord of the Rings: The Return of the King,9.0,201,2003,Action Adventure Drama,377845905
Iron Man,7.9,126,2008,Action Adventure Sci-Fi,318412101
Live and Let Die,6.7,121,1973,Action Adventure Thriller,35377836
Ready Player One,7.4,140,2018,Action Adventure Sci-Fi,137690172
Solo: A Star Wars Story,6.9,135,2018,Action Adventure Sci-Fi,213767512
The Bounty,7.0,132,1984,Adventure Drama History,8600000
Edge of Tomorrow,7.9,113,2014,Action Adventure Sci-Fi,100206256
Deadpool 2,7.7,119,2018,Action Adventure Comedy,324591735
Mission: Impossible - Rogue Nation,7.4,131,2015,Action Adventure Thriller,195042377
Captain America: The First Avenger,6.9,124,2011,Action Adventure Sci-Fi,176654505
E.T. the Extra-Terrestrial,7.9,115,1982,Adventure Family Sci-Fi,435110554
Dune,6.3,137,1984,Action Adventure Sci-Fi,30925690
Pirates of the Caribbean: Dead Man's Chest,7.3,151,2006,Action Adventure Fantasy,423315812
Starship Troopers,7.3,129,1997,Action Adventure Sci-Fi,54814377
The Wizard of Oz,8.1,102,1939,Adventure Family Fantasy,2076020
Oz the Great and Powerful,6.3,130,2013,Adventure Family Fantasy,234911825
Harry Potter and the Goblet of Fire,7.7,157,2005,Adventure Family Fantasy,290013036
Scooby-Doo,5.2,86,2002,Adventure Comedy Family,153288182
Cruella,7.3,134,2021,Adventure Comedy Crime,153288182
Black Panther,7.3,134,2018,Action Adventure Sci-Fi,700059566
The Green Knight,6.6,130,2021,Adventure Drama Fantasy,700059566
Birds of Prey,6.0,109,2020,Action Adventure Comedy,84158461
The Revenant,8.0,156,2015,Action Adventure Drama,183637894
Mission: Impossible III,6.9,126,2006,Action Adventure Thriller,134029801
Star Trek,7.9,127,2009,Action Adventure Sci-Fi,257730019
Pirates of the Caribbean: On Stranger Tides,6.6,136,2011,Action Adventure Fantasy,241063875
Captain America: Civil War,7.8,147,2016,Action Adventure Sci-Fi,408084349
Harry Potter and the Deathly Hallows: Part 1,7.7,146,2010,Adventure Family Fantasy,295983305
The Amazing Spider-Man 2,6.6,142,2014,Action Adventure Sci-Fi,202853933
Kingsman: The Golden Circle,6.7,141,2017,Action Adventure Comedy,100234838
Legend,6.3,94,1985,Adventure Fantasy Romance,15502112
Toy Story 2,7.9,92,1999,Animation Adventure Comedy,245852179
The Incredibles,8.0,115,2004,Animation Action Adventure,261441092
Spirited Away,8.6,125,2001,Animation Adventure Family,10055859
Ratatouille,8.1,111,2007,Animation Adventure Comedy,206445654
The Man with the Golden Gun,6.7,125,1974,Action Adventure Thriller,20972000
Avengers: Age of Ultron,7.3,141,2015,Action Adventure Sci-Fi,459005868
Skyfall,7.8,143,2012,Action Adventure Thriller,304360277
The Tomorrow War,6.5,138,2021,Action Adventure Drama,304360277
Spider-Man 3,6.2,139,2007,Action Adventure Sci-Fi,336530303
Batman,7.5,126,1989,Action Adventure,251188924
Luca,7.4,95,2021,Animation Adventure Comedy,251188924
Paddington 2,7.8,103,2017,Adventure Comedy Family,40442052
Spider-Man: Far from Home,7.4,129,2019,Action Adventure Sci-Fi,390532085
Harry Potter and the Deathly Hallows: Part 2,8.1,130,2011,Adventure Fantasy Horror,381011219
Alita: Battle Angel,7.3,122,2019,Action Adventure Sci-Fi,85710210
Hercules,7.3,93,1997,Animation Adventure Comedy,99046791
Thor: The Dark World,6.8,112,2013,Action Adventure Fantasy,206362140
"The Good, the Bad and the Ugly",8.8,178,1966,Adventure Western,6100000
Pirates of the Caribbean: At World's End,7.1,169,2007,Action Adventure Fantasy,309420425
The Fast and the Furious,6.8,106,2001,Action Adventure Crime,144533925
Almost Famous,7.9,122,2000,Adventure Comedy Drama,32534850
Who Framed Roger Rabbit,7.7,104,1988,Animation Adventure Comedy,156452370
Batman Forever,5.4,121,1995,Action Adventure,184031112
Minions,6.4,91,2015,Animation Adventure Comedy,336045770
Stardust,7.6,127,2007,Adventure Family Fantasy,38634938
Transformers,7.0,144,2007,Action Adventure Sci-Fi,319246193
War of the Worlds,6.5,116,2005,Action Adventure Sci-Fi,234280354
Kingdom of Heaven,7.2,144,2005,Action Adventure Drama,47398413
Zootopia,8.0,108,2016,Animation Adventure Comedy,341268248
Venom,6.6,112,2018,Action Adventure Sci-Fi,213515506
The Lord of the Rings: The Two Towers,8.8,179,2002,Action Adventure Drama,342551365
Apocalypto,7.8,139,2006,Action Adventure Drama,50866635
Jumanji: Welcome to the Jungle,6.9,119,2017,Action Adventure Comedy,404515480
Spider-Man 2,7.4,127,2004,Action Adventure Sci-Fi,373585825
Back to the Future Part II,7.8,108,1989,Adventure Comedy Sci-Fi,118500000
World War Z,7.0,116,2013,Action Adventure Horror,202359711
The Lion King,6.8,118,2019,Animation Adventure Drama,543638043
Despicable Me,7.6,95,2010,Animation Adventure Comedy,251513985
Mad Max,6.8,88,1979,Action Adventure Sci-Fi,8750000
Harry Potter and the Chamber of Secrets,7.4,161,2002,Adventure Family Fantasy,261988482
Aladdin,6.9,128,2019,Adventure Comedy Family,355559216
The Wiz,5.4,134,1978,Adventure Family Fantasy,21049053
Total Recall,7.5,113,1990,Action Adventure Sci-Fi,119394840
2001: A Space Odyssey,8.3,149,1968,Adventure Sci-Fi,56954992
X-Men,7.3,104,2000,Action Adventure Sci-Fi,157299717
"Monsters, Inc.",8.1,92,2001,Animation Adventure Comedy,289916256
The Hobbit: An Unexpected Journey,7.8,169,2012,Adventure Fantasy,303003568
The Martian,8.0,144,2015,Adventure Drama Sci-Fi,228433663
Finding Nemo,8.2,100,2003,Animation Adventure Comedy,380843261
"O Brother, Where Art Thou?",7.7,107,2000,Adventure Comedy Crime,45512588
Harry Potter and the Prisoner of Azkaban,7.9,142,2004,Adventure Family Fantasy,249358727
Labyrinth,7.3,101,1986,Adventure Family Fantasy,12729917
Soul,8.0,100,2020,Animation Adventure Comedy,12729917
Speed,7.3,116,1994,Action Adventure Thriller,121248145
Armageddon,6.7,151,1998,Action Adventure Sci-Fi,201573391
Chef,7.3,114,2014,Adventure Comedy Drama,30640336
Justice League,6.1,120,2017,Action Adventure Fantasy,229024295
Terminator: Dark Fate,6.2,128,2019,Action Adventure Sci-Fi,62253077
Transformers: The Last Knight,5.2,154,2017,Action Adventure Sci-Fi,130168683
Man of Steel,7.1,143,2013,Action Adventure Sci-Fi,291045518
The NeverEnding Story,7.4,102,1984,Adventure Drama Family,20158808
X-Men: Days of Future Past,7.9,132,2014,Action Adventure Sci-Fi,233921534
Wonder Woman 1984,5.4,151,2020,Action Adventure Fantasy,46370364
Men in Black,7.3,98,1997,Action Adventure Comedy,250690539
Raya and the Last Dragon,7.3,107,2021,Animation Action Adventure,250690539
Captain America: The Winter Soldier,7.8,136,2014,Action Adventure Sci-Fi,259766572
Big Fish,8.0,125,2003,Adventure Drama Fantasy,66257002
Iron Man 2,6.9,124,2010,Action Adventure Sci-Fi,312433331
Excalibur,7.3,140,1981,Adventure Drama Fantasy,34967437
Howl's Moving Castle,8.2,119,2004,Animation Adventure Family,4711096
Shrek,7.9,90,2001,Animation Adventure Comedy,267665011
Jumper,6.1,88,2008,Action Adventure Sci-Fi,80172128
Cast Away,7.8,143,2000,Adventure Drama Romance,233632142
Homeward Bound: The Incredible Journey,6.9,84,1993,Adventure Comedy Drama,41833324
Hook,6.8,142,1991,Adventure Comedy Family,119654823
Mortal Kombat,6.1,110,2021,Action Adventure Fantasy,42201013
The Hunger Games: Catching Fire,7.5,146,2013,Action Adventure Drama,424668047
Indiana Jones and the Temple of Doom,7.5,118,1984,Action Adventure,179870271
The Twilight Saga: Breaking Dawn - Part 2,5.5,115,2012,Adventure Drama Fantasy,292298923
The Mitchells vs the Machines,7.6,114,2021,Animation Adventure Comedy,292298923
Lilo & Stitch,7.3,85,2002,Animation Adventure Comedy,145794338
Without a Paddle,5.8,95,2004,Adventure Comedy Mystery,58169327
Teenage Mutant Ninja Turtles,6.7,93,1990,Action Adventure Comedy,135265915
Wonder Woman,7.4,141,2017,Action Adventure Fantasy,412563408
Harry Potter and the Order of the Phoenix,7.5,138,2007,Action Adventure Family,292004738
WALL·E,8.4,98,2008,Animation Adventure Family,223808164
Up,8.3,96,2009,Animation Adventure Comedy,293004164
TRON: Legacy,6.8,125,2010,Action Adventure Sci-Fi,172062763
Quantum of Solace,6.6,106,2008,Action Adventure Thriller,168368427
Dr. No,7.2,110,1962,Action Adventure Thriller,16067035
Indiana Jones and the Last Crusade,8.2,127,1989,Action Adventure,197171806
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.9,143,2005,Adventure Family Fantasy,291709845
The Incredible Hulk,6.6,112,2008,Action Adventure Sci-Fi,134518390
Tomb Raider,6.3,119,2018,Action Adventure Fantasy,58250803
Power Rangers,5.9,124,2017,Action Adventure Fantasy,85364450
Waterworld,6.2,177,1995,Action Adventure Sci-Fi,88246220
Knight and Day,6.3,109,2010,Action Adventure Comedy,76423035
The Rock,7.4,136,1996,Action Adventure Thriller,134069511
Charlie's Angels,4.9,118,2019,Action Adventure Comedy,134069511
National Lampoon's Vacation,7.3,98,1983,Adventure Comedy,61400000
The Peanut Butter Falcon,7.6,97,2019,Adventure Comedy Drama,13122642
X-Men: Apocalypse,6.9,144,2016,Action Adventure Sci-Fi,155442489
Superman,7.4,143,1978,Action Adventure Sci-Fi,134218018
Iron Man Three,7.1,130,2013,Action Adventure Sci-Fi,409013994
