track_name,released_year,released_month,in_spotify_charts,mode,danceability_%,artist(s)
Love Language,2022,12,0,Minor,71,SZA
Happy Xmas (War Is Over),1971,12,0,Major,33,John Lennon The Harlem Community Choir The Plastic Ono Band Yoko Ono
Used (feat. Don Toliver),2022,12,0,Minor,73,SZA Don Toliver
A Holly Jolly Christmas - Single Version,1952,1,0,Major,67,Burl Ives
The Christmas Song (Merry Christmas To You) - Remastered 1999,1946,11,0,Major,36,Nat King Cole
Wonderful Christmastime - Edited Version / Remastered 2011,1979,11,0,Major,75,Paul McCartney
Do They Know It's Christmas? - 1984 Version,1984,11,0,Major,60,Band Aid
Ghost in the Machine (feat. Phoebe Bridgers),2022,12,0,Major,62,SZA Phoebe Bridgers
Special,2022,12,0,Major,60,SZA
Merry Christmas Everyone,1984,1,0,Minor,72,Shakin' Stevens
Let It Snow! Let It Snow! Let It Snow!,1950,1,0,Major,60,Frank Sinatra B. Swanson Quartet
SOS,2022,12,0,Minor,51,SZA
Open Arms (feat. Travis Scott),2022,12,4,Major,67,SZA Travis Scott
White Christmas,1942,1,0,Major,23,Bing Crosby John Scott Trotter & His Orchestra Ken Darby Singers
Driving Home for Christmas - 2019 Remaster,1986,1,0,Major,51,Chris Rea
Christmas (Baby Please Come Home),1963,11,0,Major,34,Darlene Love
Gone Girl,2022,12,0,Major,43,SZA
F2F,2022,12,0,Major,53,SZA
Notice Me,2022,12,0,Major,72,SZA
Merry Christmas,2017,11,0,Major,59,Ed Sheeran Elton John
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),1958,1,0,Major,73,Perry Como The Fontane Sisters Mitchell Ayres & His Orchestra
My Only Wish (This Year),2000,11,0,Major,67,Britney Spears
Antidepresan,2022,11,2,Minor,70,Mabel Matiz Mert Demir
Wild Flower (with youjeen),2022,12,2,Major,49,RM
I Hate U,2021,12,0,Minor,54,SZA
Raindrops (Insane) [with Travis Scott],2022,12,0,Major,80,Travis Scott Metro Boomin
SPIT IN MY FACE!,2022,10,0,Major,70,ThxSoMch
Deck The Hall - Remastered 1999,1959,1,0,Minor,69,Nat King Cole
Smoking on my Ex Pack,2022,12,0,Major,47,SZA
Conceited,2022,12,0,Major,79,SZA
Snow On The Beach (feat. Lana Del Rey),2022,10,0,Major,66,Taylor Swift Lana Del Rey
Maroon,2022,10,0,Major,64,Taylor Swift
Bejeweled,2022,10,0,Major,70,Taylor Swift
Tarot,2022,5,20,Minor,80,Bad Bunny Jhay Cortez
You Make It Feel Like Christmas (feat. Blake Shelton),2005,9,0,Major,63,Gwen Stefani Blake Shelton
Desesperados,2021,6,34,Minor,87,Chencho Corleone Rauw Alejandro
Too Late,2022,12,0,Major,45,SZA
Party,2022,5,4,Major,83,Bad Bunny Rauw Alejandro
Run Rudolph Run - Single Version,1958,1,0,Minor,69,Chuck Berry
Jingle Bells - Remastered 1999,1957,1,0,Major,51,Frank Sinatra
Far,2022,12,0,Major,61,SZA
On Time (with John Legend),2022,12,0,Minor,33,John Legend Metro Boomin
Sacrifice,2022,1,0,Major,70,The Weeknd
Is There Someone Else?,2022,1,6,Minor,70,The Weeknd
Fingers Crossed,2022,1,0,Major,60,Lauren Spencer Smith Lauren Spencer Smith Lauren Spencer Smith
Out of Time,2022,1,0,Minor,65,The Weeknd
Do It To It,2021,8,0,Minor,85,Cherish ACRAZE
We Don't Talk About Bruno,2021,11,0,Minor,58,Adassa Mauro Castillo Stephanie Beatriz Encanto - Cast Rhenzy Feliz Diane Guerrero Carolina Gaitan
Pepas,2021,6,17,Major,76,Farruko
How Do I Make You Love Me?,2022,1,0,Minor,80,The Weeknd
Gasoline,2022,1,0,Minor,74,The Weeknd
Infinity,2017,6,0,Minor,67,Jaymes Young
Less Than Zero,2022,1,0,Major,53,The Weeknd
Take My Breath,2021,8,0,Minor,70,The Weeknd
good 4 u,2021,5,6,Minor,56,Olivia Rodrigo
Best Friends,2022,1,0,Minor,49,The Weeknd
Kiss Me More (feat. SZA),2021,4,0,Major,77,SZA Doja Cat
I Heard You're Married (feat. Lil Wayne),2022,1,0,Major,75,The Weeknd Lil Wayne
Need To Know,2021,6,0,Major,66,Doja Cat
MONTERO (Call Me By Your Name),2020,9,0,Minor,61,Lil Nas X
love nwantiti (ah ah ah),2019,7,2,Minor,74,Ckay
Dawn FM,2022,1,0,Minor,27,The Weeknd
Surface Pressure,2021,11,0,Major,65,Jessica Darrow
Starry Eyes,2022,1,0,Minor,28,The Weeknd
THATS WHAT I WANT,2021,9,0,Minor,74,Lil Nas X
One Right Now (with The Weeknd),2021,11,0,Major,68,The Weeknd Post Malone
Beggin,2017,12,0,Minor,71,M��ne
Mon Amour - Remix,2020,9,2,Major,75,Aitana zzoilo
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),2021,10,26,Minor,64,Julieta Venegas Bad Bunny Tainy
MONEY,2021,9,13,Minor,83,Lisa
Happier Than Ever,2021,7,0,Major,31,Billie Eilish
Moth To A Flame (with The Weeknd),2021,10,17,Minor,56,The Weeknd Swedish House Mafia
traitor,2021,5,6,Major,29,Juan Cruz Toledo Huilen Toledo
Toxic,2021,9,0,Minor,59,BoyWithUke
drivers license,2021,1,3,Major,59,Olivia Rodrigo
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),2021,11,5,Major,63,Taylor Swift
Oh My God,2021,11,0,Major,53,Adele
Entre Nosotros (Remix) [con Nicki Nicole],2022,1,3,Minor,70,Lit Killah Maria Becerra Tiago pzk NICKI NICOLE
A Tale By Quincy,2022,1,0,Minor,46,The Weeknd
I AM WOMAN,2021,11,0,Major,65,Emmy Meli
Medallo,2021,10,2,Minor,79,Justin Quiles Lenny Tav��rez BL
It'll Be Okay,2021,12,0,Major,40,Shawn Mendes
Softcore,2018,3,12,Major,57,The Neighbourhood
Super Gremlin,2021,10,0,Major,83,Kodak Black
Todo De Ti,2020,11,8,Minor,81,Rauw Alejandro
Love Nwantiti - Remix,2019,8,0,Major,58,Ckay AX'EL Dj Yo!
Smokin Out The Window,2021,11,0,Major,63,Bruno Mars Anderson .Paak Silk Sonic
Meet Me At Our Spot,2020,3,0,Major,77,THE ANXIETY Willow Tyler Cole
Every Angel is Terrifying,2022,1,0,Major,44,The Weeknd
Tacones Rojos,2021,10,9,Minor,75,Sebastian Yatra
Peaches (feat. Daniel Caesar & Giveon),2021,3,0,Major,63,Justin Bieber Daniel Caesar Giveon
Dakiti,2020,10,21,Minor,73,Bad Bunny Jhay Cortez
"Tiago PZK: Bzrp Music Sessions, Vol. 48",2021,12,12,Minor,66,Bizarrap Tiago pzk
Better Days (NEIKED x Mae Muller x Polo G),2021,9,0,Minor,72,NEIKED Mae Muller Polo G
Life Goes On,2020,7,0,Major,70,Oliver Tree
Sad Girlz Luv Money Remix (feat. Kali Uchis),2021,9,0,Minor,86,Kali Uchis Amaarae Moliy
Butter,2021,5,6,Major,79,BTS
pushin P (feat. Young Thug),2022,1,0,Minor,77,Young Thug Future Gunna
You Right,2021,6,0,Major,83,Doja Cat The Weeknd
deja vu,2021,4,4,Major,44,Olivia Rodrigo
Dynamite,2020,8,5,Minor,75,BTS
TO THE MOON,2021,11,0,Major,74,Jnr Choi
Lost in the Fire,2019,1,2,Major,66,The Weeknd Gesaffelstein
Salimo de Noche,2021,10,0,Major,67,Trueno Tiago pzk
Volando - Remix,2021,7,19,Major,66,Sech Bad Bunny Mora
Leave The Door Open,2021,3,0,Major,59,Bruno Mars Anderson .Paak Silk Sonic
Knife Talk (with 21 Savage ft. Project Pat),2021,9,0,Minor,85,Drake Project Pat 21 Savage
Love Grows (Where My Rosemary Goes),1970,1,0,Major,53,Edison Lighthouse
The Family Madrigal,2021,11,0,Major,59,Olga Merediz Stephanie Beatriz Encanto - Cast
Phantom Regret by Jim,2022,1,0,Minor,46,The Weeknd
Dos Oruguitas,2021,11,0,Major,42,Sebastian Yatra
Freaks,2015,5,3,Major,35,Surf Curse
Acapulco,2021,9,0,Major,77,Jason Derulo
Daddy Issues,2015,10,4,Major,59,The Neighbourhood
thought i was playing,2022,1,0,Major,68,21 Savage Gunna
ELEVEN,2021,12,1,Major,83,IVE
Mood (feat. Iann Dior),2020,7,0,Minor,70,24kgoldn Iann Dior
What Else Can I Do?,2021,11,0,Major,72,Stephanie Beatriz Diane Guerrero
DANCE CRIP,2021,11,0,Major,86,Trueno
Miserable Man,2022,1,0,Major,63,David Kushner
happier,2021,5,4,Major,39,Olivia Rodrigo
Praise God,2021,8,0,Major,80,Kanye West
Get Into It (Yuh),2021,6,0,Minor,91,Doja Cat
Before You Go,2019,11,24,Major,45,Lewis Capaldi
Sky,2020,12,3,Major,79,Playboi Carti
Rolling in the Deep,2010,11,6,Major,73,Adele
Sobrio,2021,7,10,Major,76,Maluma
Peru,2021,12,0,Minor,96,Ed Sheeran Fireboy DML
favorite crime,2021,5,0,Major,40,Olivia Rodrigo
Thunder,2021,5,10,Major,67,Prezioso Gabry Ponte LUM!X
positions,2020,10,0,Major,73,Ariana Grande
The Feels,2021,10,0,Major,81,TWICE
HEARTBREAK ANNIVERSARY,2020,2,4,Major,61,Giveon
No Lie,2016,11,0,Major,74,Sean Paul Dua Lipa
OUT OUT (feat. Charli XCX & Saweetie),2021,8,0,Minor,79,Charli XCX Jax Jones Joel Corry Saweetie
Pope Is a Rockstar,2016,4,0,Minor,73,SALES
2055,2021,4,0,Minor,78,Sleepy hallow
Bored,2017,3,0,Major,60,Billie Eilish
Happier Than Ever - Edit,2021,7,0,Major,45,Billie Eilish
Astronaut In The Ocean,2019,1,0,Minor,78,Masked Wolf
Ley Seca,2021,9,0,Major,76,Anuel Aa Jhay Cortez
Every Summertime,2021,8,2,Major,63,NIKI
Talking To The Moon,2010,10,2,Minor,52,Bruno Mars
you broke me first,2020,4,0,Major,64,Tate McRae
The Nights,2014,1,8,Major,53,Avicii
Take My Breath,2021,8,0,Major,75,The Weeknd
Way 2 Sexy (with Future & Young Thug),2021,9,0,Minor,80,Drake Future Young Thug
Enemy - from the series Arcane League of Legends,2021,10,0,Major,73,Imagine Dragons League of Legends Arcane
Dance Monkey,2019,5,0,Minor,82,Tones and I
Lucid Dreams,2017,6,0,Minor,44,Juice WRLD
All of Me,2013,8,0,Major,42,John Legend
Smells Like Teen Spirit - Remastered 2021,1991,9,9,Major,52,Nirvana
Arcade,2019,3,0,Minor,45,Duncan Laurence
Fair Trade (with Travis Scott),2021,9,6,Major,67,Drake Travis Scott
Bar,2021,11,4,Major,52,Tini L-Gante
The Rumbling (TV Size),2022,1,0,Major,41,SiM
family ties (with Kendrick Lamar),2021,8,5,Major,71,Kendrick Lamar Baby Keem
Mr. Brightside,2003,9,15,Major,35,The Killers
Blessed-Cursed,2022,1,0,Minor,60,ENHYPEN
AM Remix,2021,6,0,Minor,74,J Balvin Nio Garcia Bad Bunny
Streets,2019,11,0,Major,75,Doja Cat
Shallow,2018,9,12,Major,57,Lady Gaga Bradley Cooper
Polaroid Love,2022,1,0,Minor,74,ENHYPEN
Leave Before You Love Me (with Jonas Brothers),2021,4,4,Major,72,Marshmello Jonas Brothers
Permission to Dance,2021,7,2,Major,70,BTS
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,2021,1,0,Major,82,Riton Nightcrawlers Mufasa & Hypeman Dopamine
RAPSTAR,2021,4,0,Major,79,Polo G
'Till I Collapse,2002,5,0,Major,55,Eminem Nate Dogg
Memories,2019,9,2,Major,77,Maroon 5
Se Le Ve,2021,8,0,Minor,56,Arcangel De La Ghetto Justin Quiles Lenny Tav��rez Sech Dalex Dimelo Flow Rich Music
25k jacket (feat. Lil Baby),2022,1,0,Minor,90,Gunna Lil Baby
MAMIII,2022,2,28,Minor,84,Karol G Becky G
Still D.R.E.,1999,1,0,Major,81,Dr. Dre Snoop Dogg
Stay Alive (Prod. SUGA of BTS),2022,2,5,Minor,51,Jung Kook
Boyfriend,2022,2,0,Minor,35,Dove Cameron
The Joker And The Queen (feat. Taylor Swift),2022,2,0,Major,53,Ed Sheeran Taylor Swift
The Next Episode,1999,1,0,Minor,92,Dr. Dre Snoop Dogg
Light Switch,2022,1,0,Major,69,Charlie Puth
City of Gods,2022,2,0,Minor,47,Kanye West Alicia Keys Fivio Foreign
Brividi,2022,2,0,Major,52,Mahmood Blanco
Lost,2012,1,11,Minor,91,Frank Ocean
In Da Club,2002,1,7,Minor,90,50 Cent
she's all i wanna be,2022,2,0,Minor,61,Tate McRae
Ginseng Strip 2002,2013,8,0,Major,60,Yung Lean
All For Us - from the HBO Original Series Euphoria,2019,8,0,Major,37,Labrinth Zendaya
Notion,2016,8,0,Major,31,The Rare Occasions
Formula,2019,10,7,Major,57,Labrinth
Mount Everest,2019,6,0,Minor,46,Labrinth
Excuses,2020,7,4,Minor,84,Intense AP Dhillon Gurinder Gill
Cigarettes,2021,12,0,Major,60,Juice WRLD
California Love - Original Version (Explicit),1995,12,0,Major,77,Dr. Dre 2Pac Roger
Forgot About Dre,1999,1,0,Major,93,Eminem Dr. Dre
Down Under (feat. Colin Hay),2021,11,2,Minor,31,Luude Colin Hay
Mujeriego,2021,12,0,Major,76,Ryan Castro
HUMBLE.,2017,3,1,Minor,91,Kendrick Lamar
Stan,1999,11,0,Minor,78,Eminem Dido
Contection,2020,1,0,Minor,81,GODZZ__- Zakaria
Swim,2017,10,0,Major,67,Chase Atlantic
A Tu Merced,2020,2,11,Major,86,Bad Bunny
Numb Little Bug,2022,1,0,Minor,74,Em Beihold
212,2022,1,0,Minor,79,Mainstreet Chefin
Problem�,2021,10,0,Minor,73,Alvaro Diaz Rauw Alejandro
Bussin,2022,2,0,Major,89,Nicki Minaj Lil Baby
Worst Day,2022,2,0,Major,65,Future
Hrs and Hrs,2021,11,0,Minor,51,Muni Long
Alien Blues,2015,7,0,Major,47,Vundabar
Thinking Out Loud,2014,1,0,Major,78,Ed Sheeran
Still Don't Know My Name,2019,10,0,Major,31,Labrinth
Christmas Tree,2021,12,9,Major,44,V
When I R.I.P.,2019,10,0,Minor,39,Labrinth
Do We Have A Problem?,2022,2,0,Minor,84,Nicki Minaj Lil Baby
Forever,2019,10,0,Minor,56,Labrinth
Gospel (with Eminem),2022,2,0,Major,92,Eminem Dr. Dre
Se��o,2019,6,2,Minor,76,Shawn Mendes Camila Cabello
NEW MAGIC WAND,2019,5,0,Minor,62,Tyler The Creator
Adore You,2019,12,1,Major,68,Harry Styles
La Santa,2020,2,20,Major,74,Daddy Yankee Bad Bunny
Something In The Way - Remastered 2021,1991,9,0,Major,44,Nirvana
Sweetest Pie,2022,3,0,Major,81,Dua Lipa Megan Thee Stallion
Bam Bam (feat. Ed Sheeran),2022,3,4,Major,76,Camila Cabello Ed Sheeran
Envolver,2021,11,2,Minor,81,Anitta
Starlight,2022,3,3,Major,95,Dave
Hati-Hati di Jalan,2022,3,2,Major,64,Tulus
"I'm Tired - From ""Euphoria"" An Original HBO Series",2022,2,0,Minor,28,Labrinth
DAN��A,2022,2,2,Minor,78,Mc Pedrinho Pedro Sampaio
Yo Voy (feat. Daddy Yankee),2004,5,2,Major,81,Zion & Lennox
"Residente: Bzrp Music Sessions, Vol. 49",2022,3,0,Minor,59,Residente Bizarrap
Jordan,2021,4,2,Minor,80,Ryan Castro
Nail Tech,2022,2,0,Minor,65,Jack Harlow
Chale,2022,2,11,Major,55,Eden Mu��
DARARI,2022,2,0,Major,72,Treasure
Ya No Somos Ni Seremos,2022,2,16,Major,59,Christian Nodal
Thinking with My Dick,2013,7,0,Major,77,Kevin Gates Juicy J
Freaky Deaky,2022,2,0,Minor,80,Tyga Doja Cat
this is what falling in love feels like,2021,9,0,Major,42,JVKE
La Zona,2020,2,0,Minor,76,Bad Bunny
Bohemian Rhapsody - Remastered 2011,1975,10,3,Minor,41,Queen
Hope,2018,3,0,Minor,59,XXXTENTACION
Levitating,2020,3,0,Minor,69,Dua Lipa
Wake Me Up - Radio Edit,2013,1,34,Major,53,Avicii
"jealousy, jealousy",2021,5,0,Minor,70,Olivia Rodrigo
Demasiadas Mujeres,2020,10,0,Minor,67,C. Tangana
Something Just Like This,2017,2,21,Minor,61,The Chainsmokers Coldplay
Closer,2016,5,0,Major,75,The Chainsmokers Halsey
O.O,2022,2,0,Minor,39,NMIXX
Somebody That I Used To Know,2011,1,0,Major,86,Gotye Kimbra
Tom's Diner,2019,6,0,Minor,68,AnnenMayKantereit Giant Rooks
First Class,2022,4,0,Major,91,Jack Harlow
Plan A,2022,3,0,Major,58,Paulo Londra
Fuera del mercado,2022,2,21,Major,45,Danny Ocean
When You're Gone,2022,3,0,Major,60,Shawn Mendes
In My Head,2022,4,0,Major,68,Lil Tjay
Wait a Minute!,2015,1,0,Minor,76,Willow
LOVE DIVE,2022,4,8,Minor,70,IVE
Pantysito,2022,3,0,Minor,83,Feid Alejo Robi
Chance,2022,4,0,Minor,72,Paulo Londra
Cool for the Summer,2015,1,0,Minor,59,Demi Lovato
psychofreak (feat. WILLOW),2022,4,0,Minor,63,Camila Cabello Willow
Angel Baby,2021,9,9,Major,56,Troye Sivan
Si Quieren Frontear,2022,3,0,Major,79,De La Ghetto Duki Quevedo
Right On,2022,4,0,Major,70,Lil Baby
That's Hilarious,2022,4,2,Major,71,Charlie Puth
Soy El Unico,2022,3,0,Minor,71,Yahritza Y Su Esencia
Falling,2019,12,0,Major,57,Harry Styles
Sigue,1996,11,0,Major,89,Ed Sheeran J Balvin
Fim de Semana no Rio,2022,3,2,Minor,87,teto
MANIAC,2022,3,0,Major,58,Stray Kids
There's Nothing Holdin' Me Back,2016,9,0,Major,86,Shawn Mendes
IDGAF (with blackbear),2022,3,0,Major,78,Blackbear BoyWithUke
Golden,2019,12,1,Minor,45,Harry Styles
Get Lucky - Radio Edit,2013,1,0,Minor,79,Pharrell Williams Nile Rodgers Daft Punk
Ain't Shit,2021,6,0,Major,86,Doja Cat
Still Life,2022,4,0,Major,68,BIGBANG
Photograph,2014,6,3,Major,61,Ed Sheeran
Love Yourself,2015,11,5,Major,61,Justin Bieber
N95,2022,5,0,Minor,81,Kendrick Lamar
About Damn Time,2022,4,0,Minor,84,Lizzo
Die Hard,2022,5,0,Minor,78,Kendrick Lamar Blxst Amanda Reifer
Un Ratito,2022,5,6,Minor,79,Bad Bunny
United In Grief,2022,5,0,Major,52,Kendrick Lamar
Father Time (feat. Sampha),2022,5,0,Minor,55,Kendrick Lamar Sampha
Yo No Soy Celoso,2022,5,0,Major,87,Bad Bunny
Rich Spirit,2022,5,0,Minor,85,Kendrick Lamar
Cooped Up (with Roddy Ricch),2022,5,0,Major,50,Post Malone Roddy Ricch
Me Fui de Vacaciones,2022,5,0,Major,71,Bad Bunny
Silent Hill,2022,5,0,Minor,92,Kendrick Lamar Kodak Black
La Corriente,2022,5,8,Minor,66,Tony Dize Bad Bunny
Count Me Out,2022,5,0,Major,78,Kendrick Lamar
Andrea,2022,5,0,Minor,80,Buscabulla Bad Bunny
Dos Mil 16,2022,5,3,Major,82,Bad Bunny
We Cry Together,2022,5,0,Major,65,Kendrick Lamar Taylour Paige
Savior,2022,5,0,Major,61,Kendrick Lamar Sam Dew Baby Keem
Un Coco,2022,5,28,Major,84,Bad Bunny
Worldwide Steppers,2022,5,0,Minor,56,Kendrick Lamar
Aguacero,2022,5,0,Minor,86,Bad Bunny
Purple Hearts,2022,5,0,Minor,57,Kendrick Lamar Ghostface Killah Summer Walker
Un Verano Sin Ti,2022,5,1,Minor,50,Bad Bunny
ULTRA SOLO,2022,2,0,Major,80,Polima WestCoast Pailita
Callaita,2019,5,15,Major,61,Bad Bunny Tainy
Dua Lipa,2022,5,0,Major,83,Jack Harlow
Agosto,2022,5,0,Minor,85,Bad Bunny
House Of Memories,2016,1,0,Minor,51,Panic! At The Disco
Mr. Morale,2022,5,0,Major,73,Kendrick Lamar Tanna Leone
That That (prod. & feat. SUGA of BTS),2022,4,0,Major,91,PSY Suga
In The Stars,2022,4,8,Major,36,Benson Boone
Rich - Interlude,2022,5,0,Major,44,Kendrick Lamar
Stefania (Kalush Orchestra),2022,3,0,Major,83,KALUSH
Thousand Miles,2022,4,0,Major,38,The Kid Laroi
Crown,2022,5,0,Minor,37,Kendrick Lamar
Auntie Diaries,2022,5,0,Major,43,Kendrick Lamar
PUFFIN ON ZOOTIEZ,2022,4,0,Major,88,Future
Mirror,2022,5,0,Minor,66,Kendrick Lamar
Beautiful Girl,2022,4,4,Minor,84,Luciano
"Paulo Londra: Bzrp Music Sessions, Vol. 23",2022,4,0,Major,61,Bizarrap Paulo Londra
Savior - Interlude,2022,5,0,Minor,66,Kendrick Lamar
Pasoori,2022,2,6,Minor,71,Shae Gill Ali Sethi
Mother I Sober (feat. Beth Gibbons of Portishead),2022,5,0,Minor,49,Kendrick Lamar Beth Gibbons
Where Did You Go?,2022,1,0,Major,77,MNEK Jax Jones
I Tried to Tell Y'all,2022,5,0,Major,71,Ugly Dray Tesla Jnr
Honest (feat. Don Toliver),2022,4,0,Minor,82,Justin Bieber Don Toliver
ZOOM,2022,4,0,Major,87,Jessi
SloMo,2021,12,0,Minor,73,Chanel
FEARLESS,2022,5,0,Major,86,LE SSERAFIM
10 Things I Hate About You,2022,3,0,Major,54,Leah Kate
SPACE MAN,2022,2,0,Major,47,Sam Ryder
With you,2022,4,2,Major,53,HA SUNG WOON Jimin
Iris,1998,3,9,Minor,32,The Goo Goo Dolls
The Heart Part 5,2022,5,0,Minor,76,Kendrick Lamar
San Lucas,2019,11,1,Major,58,Kevin Kaarl
Good Looking,2017,10,0,Major,37,Suki Waterhouse
Flowers,2021,8,0,Major,70,Lauren Spencer Smith
Yet To Come,2022,6,0,Major,56,BTS
Run BTS,2022,6,0,Major,72,BTS
Music For a Sushi Restaurant,2022,5,1,Major,72,Harry Styles
Matilda,2022,5,3,Major,51,Harry Styles
For Youth,2022,6,0,Major,63,BTS
Daylight,2022,5,0,Major,69,Harry Styles
Vegas (From the Original Motion Picture Soundtrack ELVIS),2022,5,0,Minor,80,Doja Cat
Cash In Cash Out,2022,6,0,Major,88,Pharrell Williams Tyler The Creator 21 Savage
Potion (with Dua Lipa & Young Thug),2022,5,0,Minor,82,Calvin Harris Dua Lipa Young Thug
Born Singer,2022,6,0,Minor,60,BTS
Little Freak,2022,5,0,Major,56,Harry Styles
True Love,2022,5,0,Minor,71,Kanye West XXXTENTACION
Satellite,2022,5,5,Major,58,Harry Styles
Pass The Dutchie,1982,1,0,Major,73,Musical Youth
"Villano Antillano: Bzrp Music Sessions, Vol. 51",2022,6,0,Minor,82,Bizarrap Villano Antillano
Love Of My Life,2022,5,0,Major,56,Harry Styles
Grapejuice,2022,5,0,Major,65,Harry Styles
So Good,2022,6,0,Minor,63,Halsey
Belly Dancer,2022,2,13,Major,85,BYOR Imanbek
Keep Driving,2022,5,1,Major,72,Harry Styles
Cinema,2022,5,0,Minor,83,Harry Styles
Die Young (feat. 347aidan),2022,5,0,Major,81,Sleepy hallow 347aidan
Only Love Can Hurt Like This,2014,1,0,Major,57,Paloma Faith
Hold My Hand,2022,5,0,Major,51,Lady Gaga
Daydreaming,2022,5,1,Minor,71,Harry Styles
Numb,2022,6,2,Minor,91,Marshmello Khalid
Nos Comemos (feat. Ozuna),2022,6,0,Major,83,Ozuna Tiago pzk
Me and Your Mama,2016,11,0,Major,56,Childish Gambino
Crazy What Love Can Do,2022,3,0,Minor,60,David Guetta Ella Henderson Becky Hill
SLOW DANCING IN THE DARK,2018,9,0,Major,52,Joji
Antes de Perderte,2022,6,8,Minor,81,Duki
Boyfriends,2022,5,0,Major,42,Harry Styles
295,2021,5,4,Minor,68,Sidhu Moose Wala
Tak Ingin Usai,2022,5,4,Major,49,Keisya Levronka
En El Radio Un Cochinero,2022,5,0,Minor,70,Victor Cibrian
Master of Puppets (Remastered),1986,3,0,Minor,54,Metallica
ULTRA SOLO REMIX,2022,6,0,Major,91,De La Ghetto Feid Polima WestCoast Paloma Mami Pailita
Massive,2022,6,0,Minor,51,Drake
Betty (Get Money),2022,6,0,Major,73,Yung Gravy
Ojos Marrones,2022,2,11,Minor,81,Lasso
POP!,2022,6,0,Major,80,Nayeon
MORE,2022,7,0,Major,78,j-hope
Sweet Child O' Mine,1987,1,1,Major,45,Guns N' Roses
Last Last,2022,5,12,Minor,80,Burna Boy
SNAP,2022,3,0,Major,56,Rosa Linn
Sticky,2022,6,0,Minor,88,Drake
Hot Shit (feat. Ye & Lil Durk),2022,7,0,Major,88,Kanye West Lil Durk Cardi B
Ai Preto,2022,6,4,Major,95,L7nnon DJ Biel do Furduncinho Bianca
La Loto,2022,7,0,Major,85,Anitta Tini Becky G
die first,2022,6,0,Minor,44,Nessa Barrett
Afraid To Feel,2022,5,5,Major,58,LF System
Baile no Morro,2022,6,2,Minor,71,Mc Vitin Da Igrejinha MC Tairon DJ Win
c��mo dormi,2022,8,35,Major,63,Rels B
Bad Decisions (with BTS & Snoop Dogg),2022,8,0,Major,77,Snoop Dogg BTS Benny Blanco
STAYING ALIVE (feat. Drake & Lil Baby),2022,8,0,Minor,72,Drake DJ Khaled Lil Baby
Caile,2020,12,2,Major,70,Luar La L
Si Te La Encuentras Por Ah�,2022,8,4,Minor,74,Feid
GIVENCHY,2022,7,4,Major,61,Duki
ALIEN SUPERSTAR,2022,7,0,Minor,55,Beyonc�
Mary On A Cross,2019,9,2,Major,47,Ghost
Attention,2022,8,12,Minor,81,NewJeans
THE SHADE,2022,3,6,Major,90,Rex Orange County
"Come Back Home - From ""Purple Hearts""",2022,7,0,Major,56,Sofia Carson
El Rescate,2022,7,4,Minor,79,Grupo Marca Registrada Junior H
Heartless,2008,1,34,Minor,79,Kanye West
"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)",2022,7,0,Major,81,Calvin Harris Halsey Pharrell Williams Justin Timberlake
Siempre Pendientes,2022,8,5,Major,77,Peso Pluma Luis R Conriquez
JGL,2022,2,9,Major,70,Luis R Conriquez La Adictiva
Don't You Worry,2022,6,0,Major,82,David Guetta Shakira Black Eyed Peas
Pipoco,2022,5,4,Major,77,Melody Ana Castela Dj Chris No Beat
Hold Me Closer,2017,11,0,Major,67,Elton John Britney Spears
Forget Me,2022,9,4,Minor,67,Lewis Capaldi
After LIKE,2022,8,12,Major,68,IVE
Bound 2,2013,1,7,Major,37,Kanye West
B.O.T.A. (Baddest Of Them All) - Edit,2022,6,6,Major,74,Interplanetary Criminal Eliza Rose
Talk that Talk,2022,8,0,Minor,77,TWICE
BILLIE EILISH.,2022,1,0,Major,90,Armani White
Ferxxo 100,2022,6,30,Minor,70,Feid
KU LO SA - A COLORS SHOW,2022,6,8,Minor,65,Oxlade
Prohibidox,2022,9,12,Minor,65,Feid
Static,2022,7,0,Major,34,Steve Lacy
The Scientist,2002,8,6,Major,56,Coldplay
Sparks,2000,7,4,Major,37,Coldplay
Talk,2022,9,0,Minor,70,YEAT
Selfish,2016,6,0,Minor,64,PnB Rock
Lady Mi Amor,2022,9,0,Major,78,Feid
Poland,2022,6,0,Minor,70,Lil Yachty
Bye Bye,2022,10,0,Minor,65,Marshmello Juice WRLD
BABY OTAKU,2022,8,0,Major,84,Fran C Polima WestCoast Nickoog Clk Pablito Pesadilla
Nxde,2022,10,6,Minor,73,(G)I-DLE
Miss You,1982,5,0,Major,66,Southstar
we fell in love in october,2018,11,0,Major,57,girl in red
2 Be Loved (Am I Ready),2022,7,6,Major,72,Lizzo
Celestial,2022,9,0,Major,57,Ed Sheeran
Typa Girl,2022,9,10,Major,92,BLACKPINK
I Really Want to Stay at Your House,2020,12,1,Minor,49,Rosa Walton Hallie Coggins
California Breeze,2022,10,0,Minor,74,Lil Baby
Casei Com a Putaria,2022,7,4,Minor,59,MC Ryan SP Love Funk Mc Paiva ZS
Major Distribution,2022,11,0,Minor,91,Drake 21 Savage
