track_name,released_year,released_month,in_spotify_charts,mode,danceability_%,artist(s)
Primera Cita,2022,4,27,Major,54,Carin Leon
Cold Heart - PNAU Remix,2017,11,52,Major,80,Dua Lipa Elton John Pnau
Dandelions,2017,4,21,Major,61,Ruth B.
Bones,2021,3,44,Minor,77,Imagine Dragons
Set Fire to the Rain,2011,1,43,Minor,61,Adele
Money Trees,2012,1,32,Minor,74,Kendrick Lamar Jay Rock
Tak Segampang Itu,2022,12,6,Major,51,Anggi Marito
Mine (Taylor's Version),2023,7,15,Major,65,Taylor Swift
Everybody Wants To Rule The World,1985,2,25,Major,64,Tears For Fears
No Role Modelz,2014,12,36,Minor,70,J. Cole
Tattoo,2023,2,59,Minor,55,Loreen
Rara Vez,2023,2,38,Minor,84,Taiu Milo j
august,2020,7,22,Major,51,Taylor Swift
LUNA,2023,6,11,Minor,75,Junior H Peso Pluma
Miracle (with Ellie Goulding),2023,3,48,Major,64,Calvin Harris Ellie Goulding
Nonsense,2022,7,27,Major,74,Sabrina Carpenter
Que Vuelvas,2022,12,26,Major,49,Carin Leon Grupo Frontera
Por las Noches,2021,6,24,Major,81,Peso Pluma
Can't Hold Us (feat. Ray Dalton),2011,8,52,Major,63,Ray Dalton Ryan Lewis Macklemore
Watermelon Sugar,2019,11,34,Major,55,Harry Styles
lovely - Bonus Track,2017,8,30,Minor,35,Billie Eilish Khalid
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",2023,6,32,Major,78,Rauw Alejandro Bizarrap
Queencard,2023,5,33,Minor,82,(G)I-DLE
OMG,2023,1,27,Minor,80,NewJeans
Radio,2011,1,46,Major,42,Lana Del Rey
"Shakira: Bzrp Music Sessions, Vol. 53",2023,1,44,Minor,78,Shakira Bizarrap
505,2007,4,25,Major,52,Arctic Monkeys
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",2023,6,16,Major,63,Swae Lee A Boogie Wit da Hoodie Metro Boomin NAV
Trance (with Travis Scott & Young Thug),2022,12,46,Minor,75,Travis Scott Young Thug Metro Boomin
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")",2023,5,8,Minor,76,Sachin-Jigar Shadab Faridi Altamash Faridi Amitabh Bhattacharya Varun Jain
Perfect,2017,1,13,Major,60,Ed Sheeran
Romantic Homicide,2022,7,23,Major,56,d4vd
Believer,2017,1,23,Minor,77,Imagine Dragons
"Gol Bolinha, Gol Quadrado 2",2023,6,8,Minor,93,Mc Pedrinho DJ 900
Without Me,2002,1,43,Major,92,Eminem
QUEMA,2023,7,31,Major,79,Sog Ryan Castro Peso Pluma
Stargirl Interlude,2016,11,32,Minor,59,The Weeknd Lana Del Rey
Somewhere Only We Know,2004,1,16,Major,45,Keane
Those Eyes,2019,5,14,Major,60,New West
El Gordo Trae El Mando,2023,1,21,Minor,74,Chino Pacas
Mi Bello Angel,2023,6,8,Minor,81,Natanael Cano
Bye,2023,5,14,Major,78,Peso Pluma
Danza Kuduro,2010,1,37,Major,47,Don Omar Lucenzo
Nosso Quadro,2023,2,9,Major,69,Ana Castela AgroPlay
Locked Out Of Heaven,2012,12,9,Major,73,Bruno Mars
Un Finde | CROSSOVER #2,2023,4,14,Major,50,Big One FMK Ke personajes
Jimmy Cooks (feat. 21 Savage),2022,6,27,Major,54,Drake 21 Savage
Counting Stars,2013,1,43,Minor,66,OneRepublic
Ghost,2021,3,24,Major,61,Justin Bieber
Under The Influence,2019,10,26,Minor,73,Chris Brown
PRC,2023,1,26,Minor,78,Natanael Cano Peso Pluma
Gasolina,2004,7,18,Major,86,Daddy Yankee
One Dance,2016,4,24,Major,77,Drake WizKid Kyla
Enchanted,2010,1,16,Major,45,Taylor Swift
Save Your Tears,2020,3,13,Major,68,The Weeknd
Sure Thing,2010,5,19,Minor,68,Miguel
Every Breath You Take - Remastered 2003,1983,1,19,Major,82,The Police
The Night We Met,2015,2,35,Major,45,Lord Huron
We Found Love,2011,1,21,Major,73,Rihanna Calvin Harris
When I Was Your Man,2012,12,11,Major,60,Bruno Mars
Let Me Down Slowly,2018,5,19,Minor,65,Alec Benjamin
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",2023,6,16,Minor,60,A$AP Rocky Metro Boomin Roisee
Do I Wanna Know?,2013,1,26,Major,55,Arctic Monkeys
Demons,2012,1,13,Major,33,Imagine Dragons
Reminder,2016,11,17,Major,71,The Weeknd
Shake It Off,2014,1,13,Major,65,Taylor Swift
Why'd You Only Call Me When You're High?,2013,1,29,Major,70,Arctic Monkeys
SNAP,2022,3,18,Major,56,Rosa Linn
Shape of You,2017,1,10,Minor,83,Ed Sheeran
Night Changes,2014,11,18,Major,67,One Direction
Fin de Semana,2023,1,14,Major,70,Oscar Maydon Junior H
Creep,1992,9,7,Major,53,Radiohead
Car's Outside,2019,10,10,Major,34,James Arthur
Apocalypse,2017,3,17,Major,37,Cigarettes After Sex
Cheques,2023,5,8,Minor,74,Shubh
Pink + White,2016,8,30,Major,54,Frank Ocean
Circles,2019,8,16,Major,70,Post Malone
Just The Way You Are,2010,1,13,Major,63,Bruno Mars
Take Me To Church,2013,9,31,Minor,57,Hozier
Bebe Dame,2022,12,22,Major,54,Fuerza Regida Grupo Frontera
Better Than Revenge (Taylor's Version),2023,7,11,Minor,50,Taylor Swift
Shut up My Moms Calling,2020,2,14,Minor,48,Hotel Ugly
Have You Ever Seen The Rain?,1968,7,14,Major,74,Creedence Clearwater Revival
Es un Secreto,2010,7,36,Minor,84,Plan B
POLARIS - Remix,2023,6,33,Minor,62,Feid Mora Saiko Quevedo
Ditto,2022,12,22,Minor,81,NewJeans
Take On Me,1984,10,17,Minor,57,a-ha
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",2023,6,4,Minor,61,Swae Lee Lil Wayne Offset Metro Boomin
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)",2023,5,14,Minor,53,Kodak Black NLE Choppa Muni Long JVKE Jimin
AMG,2022,11,19,Minor,77,Natanael Cano Gabito Ballesteros Peso Pluma
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",2023,5,6,Major,56,Arijit Singh Sachin-Jigar Amitabha Bhattacharya
S-Class,2023,6,19,Minor,89,Stray Kids
Hits Different,2023,5,0,Major,67,Taylor Swift
Chanel,2023,3,10,Major,85,Becky G Peso Pluma
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),2023,6,5,Major,78,Metro Boomin Coi Leray
Area Codes,2023,3,13,Major,82,Kaliii Kaliii
Obsessed,2022,9,6,Minor,80,Abhijay Sharma Riar Saab
FLOWER,2023,3,18,Minor,84,JISOO
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",2023,6,0,Minor,77,Future Lil Uzi Vert Metro Boomin
Eyes Closed,2023,3,30,Major,78,Ed Sheeran
Escapism.,2022,10,25,Major,54,RAYE 070 Shake
La Jumpa,2022,11,34,Major,71,Arcangel Bad Bunny
Karma (feat. Ice Spice),2023,5,0,Major,62,Taylor Swift Ice Spice
Superhero (Heroes & Villains) [with Future & Chris Brown],2022,12,16,Minor,72,Future Chris Brown Metro Boomin
Las Morras,2023,4,8,Minor,78,BLESSD Peso Pluma
CHORRITO PA LAS ANIMAS,2022,12,36,Minor,74,Feid
Ch y la Pizza,2022,12,10,Major,66,Fuerza Regida Natanael Cano
Snow On The Beach (feat. More Lana Del Rey),2023,5,2,Minor,66,Lana Del Rey Taylor Swift
Players,2022,11,6,Major,95,Coi Leray
Bite Me,2023,5,69,Major,80,ENHYPEN
Stand By Me (feat. Morgan Wallen),2023,5,5,Major,76,Lil Durk Morgan Wallen
Normal,2022,7,36,Minor,71,Feid
Hummingbird (Metro Boomin & James Blake),2023,6,1,Major,59,James Blake Metro Boomin
Seu Brilho Sumiu - Ao Vivo,2023,3,5,Major,63,Israel & Rodolffo Mari Fernandez
Bad Habit,2022,6,12,Major,69,Steve Lacy
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),2023,6,6,Minor,43,Halsey Suga
69,2023,5,22,Major,79,Nicky Jam Feid
Search & Rescue,2023,4,6,Minor,82,Drake
Lavender Haze,2022,10,8,Major,73,Taylor Swift
